Materialnummer,Kurztext,Einkaufsbestelltext
1970088,Servomotor AB8 AM40 SCHIEBEL,"Servomotor
Hersteller SCHIEBEL
Typbezeichnung AB8 AM40 2WER 2WEL H AK40 K2
Motorleistung 0,750 kW
Antriebsdrehzahl N1 40,00 1/min
Antriebsmoment 90,00 NM"
1970132,"Kettenrad B-2 1 1/4"" Z25 TLB 3030","Kettenraeder fuer Zweifach-Rollenkette
1 1/4"" Z25 fuer TL 3030"
1557420,Schraube M6x50 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 50
DIN 835
8.8
verzinkt"
1970207,Kettenrad KR90D100 Z10 d=90H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45 mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130 mm
aus S152-3, ungehärtet, mit Bohrung 90H7 ohne Nut"
155947,Schraube M8x30 DIN912 10.9 schw.,"Zylinderschraube mit Innensechskant
M8 x 30
DIN 912
10.9
schwarz"
1876618,Lager NU 214 ECJ/C3 SKF,"Zylinderrollenlager
NU 214 ECJ/C3
SKF"
1970050,Radialwellendichtring 35x62x5 BASL,"Radialwellendichtring
35 x 62 x 5mm
BASL"
1958379,GT-Motor KA97TR57DRN80MK4TFEK8RAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KA97TR57DRN80MK4TFEK8RAL
Leistung [kW]:                  0,550 kW
Antriebsmoment (max):           4.300,00 Nm
Antriebsmoment (nenn):          2.460,00 Nm
N1 Antriebsdrehzahl:            1.435,00 1/min
N2 Abtriebsdrehzahl:            1,90 1/min
Getriebeübersetzung i:          743,000
Spannung [50Hz]:                220-24D/380-415Y
Bauform:                        M4B
Baugröße:                       80M (H=80mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
109464,"O-Ring 34,00x3,00mm 70 Shore","O-Ring
34,00 x 3,00 mm
70° Shore"
1970205,Kettenrad KR90D100 Z10 d=85H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45 mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130 mm
aus S152-3, ungehärtet, mit Bohrung 85H7 ohne Nut"
1970373,GT-Motor R97DRN132S4TFV,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R97DRN132S4TFV
Leistung [kW]: 5,500 kW
Antriebsmoment (ma x ): 3.000,00 NM
Antriebsmoment (nenn): 4.560,00 NM
N1 Antriebsdrehzahl: 1.461,00 1/min
N2 Abtriebsdrehzahl: 12,00 1/min
Getriebeübersetzung i: 126,750
Spannung [50Hz]: 230D/400Y
Bauform: M1
Klemmkastenlage: Normal
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: 400V
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970348,GT-Motor KH67DRN100LS4BE5KCCTFEI7C,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH67DRN100LS4BE5KCCTFEI7C
Leistung [kW]: 2,200 kW
Antriebsmoment (max): 870,00 NM
Antriebsmoment (nenn): 515,00 NM
N1 Antriebsdrehzahl: 1.450,00 1/min
N2 Abtriebsdrehzahl: 41,00 1/min
Getriebeübersetzung i: 35,620
Spannung [50Hz]: 230D/400Y
Bauform: M1A
Klemmkastenlage: 180 NORMAL
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Motor-Bremse: Ja
Bremsgroesse: 415VAC 20NM
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1968299,GT-Motor RF37DRN90L2TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 RF37 DRN90L2/TH
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           144,00 Nm
Antriebsmoment (nenn):          48,00 Nm
N1 Antriebsdrehzahl:            2.905,00 1/min
N2 Abtriebsdrehzahl:            436,00 1/min
Getriebeübersetzung i:          6,670
Spannung [50Hz]:                230D/400Y
Bauform:                        M6
Baugröße:                       90L (H=90mm/Gehäuseausf.:L)
Klemmkastenlage:                270° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
191195,Lager 2217 KC3 SKF,"Lager
2217 KC3
SKF"
1813952,Servomotor 1PH7167-7HG33-0BB3-Z M39,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH7167-7HG33-0BB3-Z M39
Leistung [kW]:                  40,000 kW
N1 Antriebsdrehzahl:            2.300,00 1/min
Spannung [50Hz]:                400Y
Bauform:                        B35
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
1937200,Lager YAR 215-2F SKF,"Spannlager
YAR 215-2F
SKF"
1970054,"ORing 33,30x2,40mm Viton FPM","ORing
33,30x2,40mm
Viton FKM/FPM"
1970216,"ORing 339,30x5,70mm NBR70 Shore","ORing
339,3 x 5,7mm
WST: NBR
70 Shore"
1970259,Lager 23130CCK SKF,"Lager
23130CCK
SKF"
196043,GT-Motor FA77DV100L4,"Getriebemotor
Hersteller                     SEW
Typbezeichnung                 FA77DV100L4
Motorleistung                  3,000 kW
Antriebsdrehzahl N1            1.400,00 1/min
Abtr.Drehzahl N2               37,00 1/min
Spannung                       230D/400Y
Bauform                        M1
Isolierklasse                  F
Schutzart                      IP54"
1970407,Servomotor 1FT6086-8AH71-1EB0,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT6086-8AH71-1EB0
N1 Antriebsdrehzahl: 4.500,00 1/min
Antriebsmoment: 10,80 NM
Spannung [50Hz]: 333V
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP64-Staubdicht/Spritzwasser
Motor-Bremse: Nein"
880349,Wellendichtring 35x62x8 BAUMSL Viton,"Wellendichtring
35x62x8
BAUMSL Viton"
1970248,Lager YAR214 SKF,"Lager
YAR214
SKF"
790948,"Kettenrad B-2 1"" Z16 d=75mm","Kettenrad
B-2 1""
Z = 16
geb.75mm
DIN 8187"
1970419,Servomotor 1FT7105-5AF71-CB0-Z,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT7105-5AF71-CB0-Z
N1 Antriebsdrehzahl: 3.000,00 1/min
Antriebsmoment: 28,00 NM
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser"
1970432,Lager 1210 SKF,"Lager
1210
SKF"
1970387,"Kette 08A-3 12,7 1/2"" x 7,85 mm DIN 8188","Kette
08A-3
Teilung: 12,7
Teilung: 1/2""
Innere breite: 7,85 mm
DIN 8188
ASA 40-3"
1521517,Modul 3SU1400-1AA10-3HA0 SIEMENS,"Kontaktmodul
3SU1400-1AA10-3HA0
SIEMENS"
1970102,Servomotor AM8043-0E20-0000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8043-0E20-0000
N1 Antriebsdrehzahl 2,500.00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP54
Art.Nr.: 10765906"
1835317,Touch Panel 6AV2128-3MB06-0AX1 SIEMENS,"Touch Panel
12""
6AV2128-3MB06-0AX1
SIEMENS"
1970288,GT-Motor KA19BTDRN80MK4EK8SPK,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KA19BTDRN80MK4EK8SPK
Leistung [kW]: 0,550 kW
Antriebsmoment (max): 80,00 NM
N1 Antriebsdrehzahl: 1.745,00 1/min
N2 Abtriebsdrehzahl: 218,00 1/min
Getriebeübersetzung i: 8,010
Spannung [50Hz]: 220-240D/380-415Y
Bauform: M2A
Isolierklasse: Iso-Kl.:B (tmax=130°C)
Schutzart: IP54-Staubablage/Spritzwasser
Bremsgroesse: NM30/24
Energieeffizienzklasse: IE3 Premium Efficiency"
1939471,"O-Ring 33,2x2,4mm NBR70 0009632318 LINDE","O-Ring
33,2 x 2,4 mm
WST: NBR
70 Shore A
0009632318
LINDE"
790955,"Kettenrad B-1 5/8"" Z13 K 9183-4.2.3","Kettenrad
B-1 5/8"" Z13
K 9183-4.2.3
DIN 8187"
1970349,GT-Motor RF37DRN80M4TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: RF37DRN80M4TH
Leistung [kW]: 0,750 kW
Antriebsmoment (ma x ): 200,00 NM
Antriebsmoment (nenn): 96,00 NM
N1 Antriebsdrehzahl: 1.440,00 1/min
N2 Abtriebsdrehzahl: 75,00 1/min
Getriebeübersetzung i: 19,310
Spannung [50Hz]: 230D/400Y
Bauform: M4
Klemmkastenlage: Normal
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1874255,Mutter M36 ISO4032 5.2 schw.,"Mutter
M36
ISO4032
5.2
schwarz"
1970383,GT-Motor R87DRN132M4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R87DRN132M4
Leistung [kW]: 7,500 kW
Antriebsmoment (ma x ): 1.390,00 NM
Antriebsmoment (nenn): 830,00 NM
N1 Antriebsdrehzahl: 1.468,00 1/min
N2 Abtriebsdrehzahl: 86,00 1/min
Getriebeübersetzung i: 17,080
Spannung [50Hz]: 380-400D/660-690Y
Bauform: M1
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency"
1970282,"Mutter M36x1,5 DIN 935-1 Stahl schwarz.","Kronenmutter
M36 x 1,5
DIN 935-1
6 Automatenstahl
schwarz"
113596,Wellendichtring 35x62x5 BASL,"Wellendichtring
35 x 62 x 5mm
BASL"
1357597,O-Ring 330x7mm 70 Shore 15610.0019 JAUDT,"O-Ring
330,00 x 7,00mm
70° Shore
15610.0019
JAUDT"
1970109,Servomotor 1FK71055AY811YY3Z,"Servomotor
Hersteller KUKA
Typbezeichnung 1FK7105-5AY81-1YY3-Z
Leistung 4,300 kW
N1 Antriebsdrehzahl 3.000,00 1/min
Drehzahl ma x . 5.000,00 1/min
Spannung 203 V
Nennstrom 15,5 A
Isolierklasse F
Schutzart IP65
Art.Nr.: 131491"
1970366,GT-Motor KH77TDRN100LS4BE5TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH77TDRN100LS4BE5TH
Leistung [kW]: 2,200 kW
Antriebsmoment (max): 1.550,00 NM
Antriebsmoment (nenn): 1.130,00 NM
N1 Antriebsdrehzahl: 1.450,00 1/min
N2 Abtriebsdrehzahl: 19,00 1/min
Getriebeübersetzung i: 78,070
Spannung [50Hz]: 230D/400Y
Bauform: M1A
Klemmkastenlage: 180 NORMAL
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Motor-Bremse: Ja
Bremsgroesse: 230VAC 55NM
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1965542,GT-Motor KH67DRN100LS4BE5KCCTFEI7C,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH67DRN100LS4BE5KCCTFEI7C
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           870,00 NM
Antriebsmoment (nenn):          515,00 NM
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            41,00 1/min
Getriebeübersetzung i:          35,620
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Motor-Bremse:                   Ja
Bremsgroesse:                   415VAC 20NM
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970198,Servomotor 1PH71072HF030BB3,"Servomotor
Typbezeichnung 1PH7107-2HF03-0BB3
Motorleistung 9,000 kW
Antriebsdrehzahl N1 1.780,00 1/min
Bauform B35
Spannung 400D
Frequenz 60 Hz
Isolierklasse F
Schutzart IP54
Motorbremse keine Bremse
Motorgeber rel HTL 1024 INKU
mit zusätzlichem Radialwellendichtring im Lagerdeckel versehen"
1970043,Mutter M36 x 2 DIN 934-8 Feinge.schw,"Sechskantmutter
M36X2 DIN 934-8 Feinge.schw"
1970143,"Mutter M36 x 1,5 DIN 439-04 verz.","Sechskantmutter niedrig
M30 x 1,5
DIN 439-04
verzinkt"
1970263,Lager 16010 SKF,"Lager
16010
SKF"
1970130,"Kettenrad B-3 1 1/2"" Z20 vorg.gehae.","Kettenrad B-3 1 1/2"" Z20
Vorgebohrt gehaertet"
1970408,Servomotor 1FT6086-8AH71-1EB0,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT6086-8AH71-1EB0
N1 Antriebsdrehzahl: 4.500,00 1/min
Antriebsmoment: 10,80 NM
Spannung [50Hz]: 333V
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP64-Staubdicht/Spritzwasser
Motor-Bremse: Nein"
1939189,Lager BC1-0313 SKF,"Lager
BC1-0313
SKF"
1957018,GT-Motor R103DV160M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R103DV160M4
Leistung [kW]:                  11,000 kW
N1 Antriebsdrehzahl:            1.440,00 1/min
Abt.drehzahl pol-schaltbar N2:  42,00 1/min
Bauform:                        B3
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
1970108,Modul 3SU1400-1AA10-3HA0 SIEMENS,"Kontaktmodul
3SU1400-1AA10-3HA0
SIEMENS"
1970378,GT-Motor K77DRN112M4TFAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: K77 DRN112M4/TF/AL
Leistung [kW]: 4,000 kW
Antriebsmoment (max): 1.550,00 Nm
Antriebsmoment (nenn): 1.040,00 Nm
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 37,00 1/min
Getriebeübersetzung i: 40,040
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M1A
Baugröße: 112M (H=112mm/Gehäuseausf.:M)
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970121,Relais 3RU2126-4DB1 20-25A SIEMENS,"Überlastrelais
3RU2126-4DB1
20-25A
SIEMENS"
1188016,Servomotor AM80520J210000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8052-0J21-0000
Leistung                       2,890 kW
N1 Antriebsdrehzahl            4.000,00 1/min
Antriebsmoment                 8,20 NM
Spannung                       400V
Strom                          6,3 A
Isolierklasse                  F
Schutzart                      IP54
Motor-Bremse                   24V DC 18W
Thermo KTY                     Ja
Art.Nr.:                       138325"
1970307,Lager BC1-0313 SKF,"Lager
BC1-0313
SKF"
1970226,Mutter M8 DIN 6923 8.8 verzinkt.,"Mutter
M8
DIN 6923
8.8
verzinkt"
1970177,GT-Motor KA37DRS80S4TH,"Getriebemotor
Hersteller SEW
Typbezeichnung KA37DRS80S4/TH
Motorleistung 0,750 kW
Antriebsdrehzahl N1 1.400,00 1/min
Abtr.Drehzahl N2 206,00 1/min
Spannung 230D/400Y
Bauform M4B
Isolierklasse F
Schutzart IP54
Ausführungsart Hohlwelle
Hohlwelle d = 30 mm"
1910471,"Mutter M36x1,5 DIN935-1 Stahl schw.","Kronenmutter
M36 x 1,5
DIN 935-1
6 Automatenstahl
schwarz"
1970309,"Mutter M36 x 1,5 10007871 WEINIG","Mutter
M36 x 1,5
DA58 LG.7
10007871
WEINIG"
1970255,Lager 22228CCK SKF,"Lager
22228CCK
SKF"
1970428,Lager E1K C3 23152 SKF,"Lager
E1K C3
23152
SKF"
1610187,"Getriebe  R47A i=12,54","Getriebe
Hersteller:                     SEW
Typbezeichnung:                 R87/A
N1 Antriebsdrehzahl:            1.400,00 1/min
N2 Abtriebsdrehzahl:            73,00 1/min
Drehmoment:                     520,00 NM
Getriebeübersetzung i:          19,100
Bauform:                        M1
Getriebeausführung:             Stirnradgetriebe"
1970337,Lager 61840 SKF,"Rillenkugellager
61840 SKF
61840 FAG"
1970129,"Kettenrad B-3 1 1/2"" Z20 vorg.gehae.","Kettenrad B-3 1 1/2"" Z20
Vorgebohrt gehaertet"
1970299,Touch Panel 6AV2128-3MB06-0AX1 SIEMENS,"Touch Panel
12""
6AV2128-3MB06-0AX1
SIEMENS"
1970414,Servomotor 1FK7105-2AF71-1RB0-Z,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FK7105-2AF71-1RB0-Z
N1 Antriebsdrehzahl: 3.000,00 1/min
N1 Antriebsdrehzahl: 5.000,00 1/min
Antriebsmoment: 26,00 NM
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP64-Staubdicht/Spritzwasser
Motor-Bremse: 24DC"
1970098,Servomotor AM8043-0H20-0000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8043-0H20-0000
N1 Antriebsdrehzahl 5,000.00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP54
Art.Nr.: 10802980"
1970085,"O-Ring 33,0 x 5,0 mm Viton FPM 80 Shore","O-Ring
33,00 x 5,00 mm
WST: Viton FPM
80° Shore"
1970159,Kettenrad 3-518-11-0150 HOMAG,"Kettenrad gehärtet
10B-1
Z = 14
D35+K 1:12
3-518-11-0150
HOMAG"
1970197,Servomotor 1PH71072HF030BB3,"Servomotor
Typbezeichnung 1PH7107-2HF03-0BB3
Motorleistung 9,000 kW
Antriebsdrehzahl N1 1.780,00 1/min
Bauform B35
Spannung 400D
Frequenz 60 Hz
Isolierklasse F
Schutzart IP54
Motorbremse keine Bremse
Motorgeber rel HTL 1024 INKU
mit zusätzlichem Wellendichtring im Lagerdeckel versehen"
1898164,Lager 3305 A SKF,"Schrägkugellager 2-reihig
3305 A
SKF"
1970188,Mutter M8 DIN 928 schwarz.,"Anschweißmutter
M8
DIN 928 schwarz"
1970118,Servomotor 5/2.720.001.002,"Servomotor
Herstellerteilenummer: XXX_ESITRON
Hersteller: ESITRON
Typbezeichnung: 5/2.720.001.002
N1 Antriebsdrehzahl: 3.000,00 1/min
Antriebsmoment: 0,50 NM
Spannung: 48V DC"
1970262,Lager YAT203 SKF,"Lager
YAT203
SKF"
1904527,Lager 16010 SKF,"Lager
16010
SKF"
1965539,GT-Motor KH77DRN112M4KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77DRN112M4KCCTF
Leistung [kW]:                  4,000 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          1.340,00 NM
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            29,00 1/min
Getriebeübersetzung i:          51,180
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970172,Thermistor 3RN1011-1BB00 SIEMENS,"Thermistor-Motorschutz
3RN1011-1BB00
SIEMENS"
420802,"Servomotor 1PH7103-2HF03  5,5kW  1500","Servomotor 1PH7103-2HF03-0BB3
1.Leistung                      5,5 kW
1.Antr.Drehzahl                 1.780,0  1/min
Bauform                         Fuß-/Flanschausführung B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   Iso-Kl.:F (tmax=155°C)
Schutzart                       IP54-Staubablag./Spritzwasser
Motorbremse                     keine Bremse
Motorgeber                      rel HTL 1024 INKU"
1970090,Schraube M6x30 DIN 835 8.8 verzinkt.,"Stiftschraube mit Einschraubende
M6 x 30
DIN 835
8.8
verzinkt"
1970384,GT-Motor R87DRN132M4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R87DRN132M4
Leistung [kW]: 7,500 kW
Antriebsmoment (max): 1.390,00 NM
Antriebsmoment (nenn): 830,00 NM
N1 Antriebsdrehzahl: 1.468,00 1/min
N2 Abtriebsdrehzahl: 86,00 1/min
Getriebeübersetzung i: 17,080
Spannung [50Hz]: 380-400D/660-690Y
Bauform: M1
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency"
1970283,GT-Motor FH77DRU100L4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: FH77DRU100L4TF
Leistung [kW]: 2,200 kW
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 20,00 1/min
Getriebeübersetzung i: 75,020
Spannung [50Hz]: 230D/400Y
Bauform: M1
Baugröße: 100L (H=100 mm/Gehäuseausf.:L)
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP65-Staubdicht/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE4 Super Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970354,GT-Motor RF37DRN90L2TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: RF37 DRN90L2/TH
Leistung [kW]: 2,200 kW
Antriebsmoment (max): 144,00 Nm
Antriebsmoment (nenn): 48,00 Nm
N1 Antriebsdrehzahl: 2.905,00 1/min
N2 Abtriebsdrehzahl: 436,00 1/min
Getriebeübersetzung i: 6,670
Spannung [50Hz]: 230D/400Y
Bauform: M6
Baugröße: 90L (H=90mm/Gehäuseausf.:L)
Klemmkastenlage: 270° Normal
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970298,GT-Motor R60DT80K4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R60DT80K4TF
Leistung [kW]: 0,550 kW
N1 Antriebsdrehzahl: 1.380,00 1/min
N2 Abtriebsdrehzahl: 48,00 1/min
Getriebeübersetzung i: 28,750
Spannung [50Hz]: 220D/380Y
Bauform: B3
Isolierklasse: Iso-Kl.:B (tmax=130°C)
Schutzart: IP55-Staubablage/Strahlwasser
Motorvollschutz (Thermofühler): Ja"
1970245,Lager 215 x 170 x 22 mm 61834 SKF,"Lager
215 x 170 x 22 mm
61834
SKF"
1617605,Keilriemen SPA 2500 LW Red Power,"Keilriemen
SPA 2.500 mm LW Red Power
Wirklänge ISO LW 2.500 mm
Innenlänge LI 2.455 mm
Außenlänge LA 2.518 mm"
1970297,GT-Motor R60DT80K4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R60DT80K4TF
Leistung [kW]: 0,550 kW
N1 Antriebsdrehzahl: 1.380,00 1/min
N2 Abtriebsdrehzahl: 48,00 1/min
Getriebeübersetzung i: 28,750
Spannung [50Hz]: 220D/380Y
Bauform: B3
Isolierklasse: Iso-Kl.:B (tma x =130°C)
Schutzart: IP55-Staubablage/Strahlwasser
Motorvollschutz (Thermofühler): Ja"
1904131,Lager NU320ECJ SKF,"Lager
NU320ECJ
SKF"
1970327,Lager 6203 2RS1 VQ658 SKF,"Rillenkugellager
6203-2RS1-VQ658
SKF"
1970394,"Kette 08A-2 12,7 1/2”x7,85mm DIN 8188","Kette
08A-2
Teilung: 12,7
Teilung: 1/2""
Innere breite: 7,85mm
DIN 8188
ASA40"
1970046,"ORing 34,00x3,00mm 70 Shore","ORing
34,00 x 3,00 mm
70° Shore"
1970200,"Servomotor 1PH7103-2HF03 5,5kW 1500","Servomotor 1PH7103-2HF03-0BB3
1.Leistung 5,5 kW
1.Antr.Drehzahl 1.780,0 1/min
Bauform Fuß-/Flanschausführung B35
Spannung 400D
Frequenz 60 Hz
Isolierklasse Iso-Kl.:F (tmax=155°C)
Schutzart IP54-Staubablag./Spritzwasser
Motorbremse keine Bremse
Motorgeber rel HTL 1024 INKU"
1970087,Servomotor AB8 AM40 SCHIEBEL,"Servomotor
Hersteller SCHIEBEL
Typbezeichnung AB8 AM40 2WER 2WEL H AK40 K2
Motorleistung 0,750 kW
Antriebsdrehzahl N1 40,00 1/min
Antriebsmoment 90,00 NM"
1970201,Servomotor 1PH7133-2HF03-0BB3,"Servomotor 1PH7133-2HF03-0BB3
1.Leistung 15,00 kW
1.Antr.Drehzahl 1.780,0 1/min
Bauform Fuß-/Flanschausführung B35
Spannung 400D
Frequenz 60 Hz
Isolierklasse Iso-Kl.:F (tma x =155°C)
Schutzart IP54-Staubablag./Spritzwasser"
1970192,PN-Zylinder ADN-25-50-A-P-A 536258 FESTO,"Kompaktzylinder
ADN-25-50-A-P-A
536258
FESTO"
1124393,Servomotor 1FT60616AF713TA0,"Servomotor 		
Hersteller               Siemens		
Typenbezeichnung         1FT6061-6AF71-3TA0		
Motorleistung            1,100 kW		
Antriebsdrehzahl         3,000,00 1/min		
Spannung                 400V		
Bauform                  B5		
Isolierklasse            F		
Schutzart                IP64		
Leistungs-Signalstecker  Axial BS		
Resolver                 2-polig P=1"
1970379,GT-Motor R27DRN80M4TFAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R27 DRN80M4/TF/AL
Leistung [kW]: 0,750 kW
Antriebsmoment (ma x ): 130,00 Nm
Antriebsmoment (nenn): 66,00 Nm
N1 Antriebsdrehzahl: 1.440,00 1/min
N2 Abtriebsdrehzahl: 108,00 1/min
Getriebeübersetzung i: 13,280
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M6
Baugröße: 80M (H=80 mm/Gehäuseausf.:M)
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
791463,Kettenrad 12B-1 Z13 d=18 m.Nut gehae.,"Kettenrad gehärtet
12B-1
Z = 13
D = 18mm
mit Nut
M6"
105755,Schraube M12x30 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M12x30
5.6
verzinkt"
1970199,"Servomotor 1PH7103-2HF03 5,5kW 1500","Servomotor 1PH7103-2HF03-0BB3
1.Leistung 5,5 kW
1.Antr.Drehzahl 1.780,0 1/min
Bauform Fuß-/Flanschausführung B35
Spannung 400D
Frequenz 60 Hz
Isolierklasse Iso-Kl.:F (tma x =155°C)
Schutzart IP54-Staubablag./Spritzwasser
Motorbremse keine Bremse
Motorgeber rel HTL 1024 INKU"
1970439,Keilriemen SPA 2500 LW Red Power,"Keilriemen
SPA 2.500 mm LW Red Power
Wirklänge ISO LW 2.500 mm
Innenlänge LI 2.455 mm
Außenlänge LA 2.518 mm"
1970179,"Kette 081 12,70 1/2"" x 3,30 mm DIN 8187","Rollenkette
081
Teilung: 12,70 mm (1/2"")
Innere Breite: 3,30 mm
DIN 8187"
1970247,Lager YAR214 SKF,"Lager
YAR214
SKF"
1970067,Servomotor 373E45402022050FG,"Servomotor
Hersteller BAELZ
Typbezeichnung 373.220V
373.E45-40-20-220-50-Fg
Schubkraft 4.000,00 N
Geschwindigkeit: 20,00 mm/min
Schutzart IP65
Bedienung Manuell
Potentiometer 200 Ohm
Ventil Hub 12 mm
Art.Nr.: 00.373-E40-40-20-001"
